sha,is_mal,orig_c2,tier3_filtered,kept_c2
bca248d31bf87b605e8cca7587a9753d58a9ad9a8f7e6f7f882d03150d72869f,1,0,0,0
bedf51a5732d94c173bcd8ed918333954f5a78307c2a2f064b97b43278330f54,1,2,0,2
bf06df823a0a0b1b4618ee736f5f0bd508b315ea3c6b96a16d2a0d0e58906346,1,3,0,3
beeeb3cafc0ea246cc6dd82d82489621414d6cab9ceb50e70fd9835f5733178c,1,0,0,0
be4ada35dec3ef666681ddcf440be04f370067ee588734cabf630295742d1fd9,1,8,0,8
c17aff83c3fbddb86fe5a40d7a654af5591b16522fb15c222bbf3d57b0b16748,1,0,0,0
bf586ec8ce8528d26ec491fa5864dc590cefae88da176246296bb849e226a0c8,1,0,0,0
bfd3204c603ef403a2f9bcc172a368764b7b87e7d72e3dfd1d3dfb53f77215ad,1,11,0,11
c2c1902b3021355c1619b281875da45fe8a3f0dc26f35c4129e44de3fc3ea810,1,1,0,1
c5544517f1be9d5a721a951d906b26f9ad11adf4a06c3660a75e89f07dabb8aa,1,1,0,1
c525bb9b2f30926c971e1ac68100871d2aa82bad87ee05a1fe2e6e83a1dce1fd,1,7,0,7
c3c7df127552aa2594ad335d7cc955cb1274cc322455a89b1856a2adf9f83ded,1,0,0,0
c7944bdac5ce3255a56e77c6f2a83917f4b8a909646396669d408f207e751772,1,11,0,11
c5996e7a701f1154b48f962d01d457f9b7e95d9c3dd9bbd6a8e083865d563622,1,0,0,0
